PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
295,13,JORDAN MASON,SF,228,353,287.2,23.5
296,13,ISRAEL ABANIKANDA,NYJ,230,378,295.2,24.2
297,13,DERNEST JOHNSON,JAC,250,336,295.8,15.2
298,13,ISAAC GUERENDO,SF,218,331,288.2,22.6
299,13,TREY SERMON,IND,230,353,296.6,28.1
300,13,AIDAN OCONNELL,LV,192,338,298.7,29.1
301,13,PIERRE STRONG,CLE,245,328,288.4,17.7
302,13,CHASE EDMONDS,TB,242,334,298.9,17.6
303,13,CORDARRELLE PATTERSON,PIT,224,359,300.1,28.8
304,13,ROBERT WOODS,HOU,220,343,293.2,20.4
305,13,JACOB COWING,SF,257,372,287.3,23.9
306,13,GREG ZUERLEIN,NYJ,197,332,271.8,37.6
307,13,JERICK MCKINNON,FA,163,400,290.7,42.0
308,13,ERIC GRAY,NYG,247,359,301.9,24.3
309,13,EMARI DEMERCADO,ARI,260,325,298.8,15.3
310,13,LAS VEGAS RAIDERS,LV,182,355,271.4,46.4
311,13,DANIEL BELLINGER,NYG,202,310,268.4,29.0
312,13,TYLER SCOTT,CHI,244,350,299.6,18.2
313,13,NEW ENGLAND PATRIOTS,NE,171,335,244.3,43.4
314,13,KAREEM HUNT,FA,262,347,299.6,23.4
315,13,JACOBY BRISSETT,NE,193,347,299.1,29.3
316,13,JALEN TOLBERT,DAL,182,399,265.4,50.2
317,13,MICHAEL PENIX,ATL,187,385,307.4,35.4
318,13,ISAIAH SPILLER,LAC,284,376,315.5,17.5
319,13,CAM AKERS,MIN,206,380,309.7,27.8
320,13,RONNIE RIVERS,LAR,285,364,314.0,16.7
321,13,GREEN BAY PACKERS,GB,183,338,273.1,46.4
322,13,RASHAAD PENNY,CAR,263,364,314.0,19.4
323,13,GREG DORTCH,ARI,207,333,273.5,34.7
324,13,DALVIN COOK,FA,200,392,304.2,33.5
325,13,THEO JOHNSON,NYG,228,341,289.6,24.5
326,13,COLBY PARKINSON,LAR,253,317,284.6,19.3
327,13,HAYDEN HURST,LAC,208,341,285.5,30.6
328,13,CHATARIUS ATWELL,LAR,260,318,290.4,17.2
329,13,SALVON AHMED,MIA,296,369,320.6,16.7
330,14,JUJU SMITH-SCHUSTER,NE,238,390,298.4,35.7
