PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
79,7,NAJEE HARRIS,PIT,11.5,0.0,0.0,1.7,10.0,0.0,15.0,60.9,0.5
80,7,DEANDRE HOPKINS,TEN,13.2,0.0,0.0,4.4,62.2,0.4,0.1,0.5,0.0
81,7,MARQUISE BROWN,KC,9.6,0.0,0.0,3.6,41.0,0.3,0.1,1.6,0.0
82,7,JAXON SMITH-NJIGBA,SEA,8.8,0.0,0.0,3.7,36.9,0.2,0.0,0.0,0.0
83,7,TONY POLLARD,TEN,13.1,0.0,0.0,3.2,18.3,0.0,14.8,59.1,0.4
84,7,TUA TAGOVAILOA,MIA,16.7,272.0,1.7,0.0,0.0,0.0,2.1,4.4,0.0
85,7,KYLE PITTS,ATL,8.1,0.0,0.0,3.1,39.2,0.2,0.1,-0.2,0.0
86,7,GEORGE KITTLE,SF,12.7,0.0,0.0,4.1,63.8,0.4,0.1,0.1,0.0
87,7,JAYDEN DANIELS,WAS,0,0,0,0,0,0,0,0,0
88,8,RAHEEM MOSTERT,MIA,17.8,0.0,0.0,1.7,11.7,0.2,13.9,67.5,1.2
89,8,JARED GOFF,DET,17.8,269.1,1.8,0.0,0.0,0.0,1.9,1.2,0.1
90,8,JORDAN ADDISON,MIN,13.0,0.0,0.0,4.1,53.6,0.6,0.1,0.1,0.0
91,8,JAVONTE WILLIAMS,DEN,11.2,0.0,0.0,2.9,14.3,0.1,13.6,48.4,0.2
92,8,TREVOR LAWRENCE,JAC,17.3,251.0,1.3,0.0,0.0,0.0,4.4,21.2,0.3
93,8,DAVID NJOKU,CLE,12.6,0.0,0.0,5.1,55.1,0.4,0.0,0.0,0.0
94,8,TYJAE SPEARS,TEN,9.0,0.0,0.0,3.1,22.6,0.1,5.9,26.6,0.1
95,8,JAKE FERGUSON,DAL,10.4,0.0,0.0,4.2,44.8,0.3,0.0,0.0,0.0
96,8,CALEB WILLIAMS,CHI,0,0,0,0,0,0,0,0,0
97,8,BRIAN ROBINSON,WAS,13.2,0.0,0.0,2.4,24.5,0.3,11.9,48.9,0.3
98,8,JUSTIN HERBERT,LAC,18.6,241.1,1.5,0.0,0.0,0.0,4.0,17.5,0.2
99,8,XAVIER WORTHY,KC,0,0,0,0,0,0,0,0,0
100,8,ZACK MOSS,CIN,12.1,0.0,0.0,1.9,13.7,0.1,13.1,56.7,0.4
101,8,COURTLAND SUTTON,DEN,11.9,0.0,0.0,3.7,48.3,0.6,0.0,0.0,0.0
102,8,CHRISTIAN WATSON,GB,11.3,0.0,0.0,3.1,46.9,0.6,0.4,1.2,0.0
