PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
60,6,JOE BURROW,CIN,153.2,2309,15,0,0,0,31,88,0
61,6,NATHANIEL DELL,HOU,165,0,0,47,709,7,11,51,0
62,6,DAK PRESCOTT,DAL,351.8,4516,36,0,0,0,55,242,2
63,6,CHRIS GODWIN,TB,209.2,0,0,83,1024,2,4,38,1
64,6,RHAMONDRE STEVENSON,NE,145.7,0,0,38,238,0,156,619,4
65,6,AARON JONES,MIN,134.9,0,0,30,233,1,142,656,2
66,7,JORDAN LOVE,GB,330.1,4159,32,0,0,0,50,247,4
67,7,DALTON KINCAID,BUF,150.3,0,0,73,673,2,0,0,0
68,7,DIONTAE JOHNSON,CAR,152.7,0,0,51,717,5,0,0,0
69,7,JAMES CONNER,ARI,201.5,0,0,27,165,2,208,1040,7
70,7,DAVID MONTGOMERY,DET,207.2,0,0,16,117,0,219,1015,13
71,7,CALVIN RIDLEY,TEN,229.9,0,0,76,1016,8,9,23,0
72,7,RASHEE RICE,KC,212.5,0,0,79,938,7,1,-3,0
73,7,EVAN ENGRAM,JAC,230.3,0,0,114,963,4,0,0,0
74,7,ZAMIR WHITE,LV,73.9,0,0,15,98,0,104,451,1
75,7,BROCK PURDY,SF,306.6,4280,31,0,0,0,39,144,2
76,7,DANDRE SWIFT,CHI,199.3,0,0,39,214,1,229,1049,5
77,7,JAYDEN REED,GB,217.2,0,0,64,793,8,11,119,2
78,7,NAJEE HARRIS,PIT,195.5,0,0,29,170,0,255,1035,8
79,7,JAYLEN WARREN,PIT,196.4,0,0,61,370,0,149,784,4
80,7,JAYDEN DANIELS,WAS,0,0,0,0,0,0,0,0,0
81,7,DEANDRE HOPKINS,TEN,223.6,0,0,75,1057,7,2,9,0
82,7,MARQUISE BROWN,KC,134.7,0,0,51,574,4,2,23,0
83,7,KYLE PITTS,ATL,137.3,0,0,53,667,3,1,-4,0
84,7,TUA TAGOVAILOA,MIA,284.4,4624,29,0,0,0,35,74,0
85,7,RAHEEM MOSTERT,MIA,267.7,0,0,25,175,3,209,1012,18
86,7,GEORGE KITTLE,SF,203.2,0,0,65,1020,6,1,2,0
87,7,JARED GOFF,DET,303.1,4575,30,0,0,0,32,21,2
88,7,TONY POLLARD,TEN,222.6,0,0,55,311,0,252,1005,6
89,7,JAXON SMITH-NJIGBA,SEA,149.8,0,0,63,628,4,0,0,0
90,8,JAVONTE WILLIAMS,DEN,179.2,0,0,47,228,2,217,774,3
91,8,TYJAE SPEARS,TEN,153.8,0,0,52,385,1,100,453,2
92,8,CALEB WILLIAMS,CHI,0,0,0,0,0,0,0,0,0
93,8,JAKE FERGUSON,DAL,177.1,0,0,71,761,5,0,0,0
94,8,DAVID NJOKU,CLE,201.2,0,0,81,882,6,0,0,0
95,8,TREVOR LAWRENCE,JAC,276.5,4016,21,0,0,0,70,339,4
96,8,BRIAN ROBINSON,WAS,198.1,0,0,36,368,4,178,733,5
97,8,LADD MCCONKEY,LAC,0,0,0,0,0,0,0,0,0
98,8,JORDAN ADDISON,MIN,221.3,0,0,70,911,10,1,2,0
99,8,XAVIER WORTHY,KC,0,0,0,0,0,0,0,0,0
